,organization_id,day_of,total_meetings,group_meetings,pooled_meetings,prof_feature_meetings,web_conf_tool_meetings
1518,1ddb853f982bd4d21f5c70519b140a5f,2020-06-29 00:00:00,1,0,0,0,0
1519,1ddb853f982bd4d21f5c70519b140a5f,2020-07-23 00:00:00,1,0,0,0,0
1520,1ddb853f982bd4d21f5c70519b140a5f,2020-09-08 00:00:00,1,0,0,0,0
1521,1e5befc558441fd20fe27939e20a25b9,2020-01-15 00:00:00,2,0,0,0,0
1522,1fce2b05996524369fa523ea0d2141a3,2020-01-23 00:00:00,6,0,0,0,0
1523,1fce2b05996524369fa523ea0d2141a3,2020-02-07 00:00:00,2,0,0,0,0
1524,1fce2b05996524369fa523ea0d2141a3,2020-02-21 00:00:00,1,0,0,0,0
1525,1fce2b05996524369fa523ea0d2141a3,2020-03-06 00:00:00,1,0,0,0,0
1526,1fce2b05996524369fa523ea0d2141a3,2020-04-08 00:00:00,1,0,0,0,0
1527,1fce2b05996524369fa523ea0d2141a3,2020-04-14 00:00:00,1,0,0,0,0
1528,1fce2b05996524369fa523ea0d2141a3,2020-04-24 00:00:00,1,0,0,0,1
1529,1fce2b05996524369fa523ea0d2141a3,2020-04-25 00:00:00,1,0,0,0,0
1530,1fce2b05996524369fa523ea0d2141a3,2020-06-15 00:00:00,6,0,0,0,0
1531,2021cd098370e82f90b4484435b97fad,2020-01-13 00:00:00,2,0,0,0,2
1532,2021cd098370e82f90b4484435b97fad,2020-01-16 00:00:00,1,0,0,0,1
1533,2021cd098370e82f90b4484435b97fad,2020-01-22 00:00:00,1,0,0,0,1
1534,2021cd098370e82f90b4484435b97fad,2020-02-05 00:00:00,1,0,0,0,1
1535,2021cd098370e82f90b4484435b97fad,2020-02-12 00:00:00,1,0,0,0,1
1536,2021cd098370e82f90b4484435b97fad,2020-02-17 00:00:00,1,0,0,0,1
1537,2021cd098370e82f90b4484435b97fad,2020-02-18 00:00:00,1,0,0,0,1
1538,2021cd098370e82f90b4484435b97fad,2020-02-19 00:00:00,2,0,0,0,2
1539,2021cd098370e82f90b4484435b97fad,2020-02-25 00:00:00,1,0,0,0,1
1540,2021cd098370e82f90b4484435b97fad,2020-03-09 00:00:00,1,0,0,0,1
1541,2021cd098370e82f90b4484435b97fad,2020-03-10 00:00:00,1,0,0,0,1
1542,2021cd098370e82f90b4484435b97fad,2020-04-06 00:00:00,2,0,0,0,1
1543,2021cd098370e82f90b4484435b97fad,2020-04-08 00:00:00,1,0,0,0,0
1544,2021cd098370e82f90b4484435b97fad,2020-04-09 00:00:00,1,0,0,0,0
1545,2021cd098370e82f90b4484435b97fad,2020-04-11 00:00:00,1,0,0,0,1
1546,2021cd098370e82f90b4484435b97fad,2020-04-23 00:00:00,1,0,0,0,0
1547,2021cd098370e82f90b4484435b97fad,2020-05-19 00:00:00,1,0,0,0,0
1548,2021cd098370e82f90b4484435b97fad,2020-05-26 00:00:00,1,0,0,0,0
1549,2021cd098370e82f90b4484435b97fad,2020-05-28 00:00:00,1,0,0,0,1
1550,2021cd098370e82f90b4484435b97fad,2020-06-09 00:00:00,1,0,0,0,1
1551,2021cd098370e82f90b4484435b97fad,2020-07-01 00:00:00,1,0,0,0,1
1552,2021cd098370e82f90b4484435b97fad,2020-07-16 00:00:00,1,0,0,0,1
1553,2021cd098370e82f90b4484435b97fad,2020-08-01 00:00:00,1,0,0,0,1
1554,2021cd098370e82f90b4484435b97fad,2020-08-02 00:00:00,1,0,0,0,0
1555,2021cd098370e82f90b4484435b97fad,2020-08-21 00:00:00,1,0,0,0,1
1556,2021cd098370e82f90b4484435b97fad,2020-08-30 00:00:00,1,0,0,0,1
1557,2021cd098370e82f90b4484435b97fad,2020-09-02 00:00:00,2,0,0,0,2
1558,2021cd098370e82f90b4484435b97fad,2020-09-11 00:00:00,1,0,0,0,1
1559,2021cd098370e82f90b4484435b97fad,2020-09-16 00:00:00,1,0,0,0,1
